,principal component 1,principal component 2,principal component 3,principal component 4,P. Habitable Class,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,principal component 11,principal component 12,principal component 13,principal component 14,principal component 15,principal component 16,principal component 17,principal component 18,principal component 19,principal component 20,principal component 21,principal component 22
1902,-2.555755483,-0.108747981,0.060629,0.735749733,0,-0.046854682,0.113679473,0.526534913,0.085908553,0.444479527,0.244586733,0.061318425,-0.059144282,-0.326514855,-0.495843558,-0.576060948,0.042752602,0.284417986,0.07628837,-0.002875126,0.080379319,0.057241929,-0.258485432
1903,-2.514362377,-0.56236448,-0.029455674,0.783636492,0,0.100278774,0.072139647,0.355443083,0.010416576,0.541055702,0.248111808,0.002628161,-0.053232257,-0.293923751,-0.468372326,-0.598296128,0.078313184,0.223480344,0.096092542,-0.021331688,0.05227547,0.064265516,-0.28277595
1904,-2.736211489,-1.250922489,0.152283176,0.60305475,0,-0.039985331,0.106048527,0.551595429,0.458931572,0.114583521,-0.844243035,0.231254025,-0.096205392,-0.141249927,-0.718845803,-0.582679602,0.549385991,0.460703434,0.179446771,-0.298830391,0.043470932,0.023395412,0.014283727
1905,-2.691978932,-1.954950011,0.027622758,0.691111777,0,0.225899098,0.059578287,0.30588884,0.340698451,0.274613932,-0.832686772,0.175328394,-0.096273834,-0.069663706,-0.69910517,-0.571892241,0.570213883,0.364276512,0.19589968,-0.33358419,-0.021115599,0.030348968,-0.041734144
1906,-2.26461512,-2.628001847,-0.162079375,0.534469465,0,0.488720663,0.090929178,-0.032633587,0.117362577,0.543314647,-0.873690665,0.629007127,-0.183109418,0.084583543,-0.561842666,-0.081042469,0.404664565,0.392959534,-0.501908018,-0.487714889,-0.503001111,0.158643622,-0.133394579
1907,-1.547477199,-1.26420694,-0.222933497,0.656140631,0,0.122031369,-0.058229072,-0.501772612,-0.314531843,0.917044232,0.007053598,0.198638072,0.087676545,0.135787171,-0.053187858,0.10107458,-0.110768538,0.022672571,-0.664113707,-0.193768029,-0.396469048,0.144130637,-0.246059843
1908,-0.477957842,-1.163777743,-0.357048139,-0.10940732,0,-0.133406674,-0.383833419,-1.010748809,-0.481740394,0.820844734,0.126668918,0.218632859,0.24304084,-0.318630885,-0.252593746,-0.021509247,0.786590954,-0.393742571,0.659000448,-0.061847112,0.167296276,-0.030051377,-0.220706884
1909,-2.585727039,-1.758321973,0.079954678,0.695600427,0,0.123627052,-0.012844255,0.010535912,0.241264219,0.267359966,-0.877773308,0.030047299,0.298612278,0.266054614,-0.440673412,-0.08088801,0.31320838,0.182277529,0.167937578,-0.344685482,0.075205801,-0.17085256,0.086469271
1910,-2.114728392,-2.389270189,-0.080283087,0.527758864,0,0.336532134,-0.013511983,-0.345257357,0.036158286,0.515582543,-0.934536673,0.445080246,0.222528343,0.394196434,-0.288522982,0.338904118,0.185749984,0.216613173,-0.542750872,-0.492957217,-0.374868008,-0.03432914,0.020245129
1911,-2.436169571,-0.900183912,0.052434655,0.707938254,0,0.050599114,-0.016354303,0.050176741,0.038670748,0.451078798,-0.227213912,-0.149480332,0.040416744,0.095200636,-0.283160893,-0.19117962,-0.036485344,0.040047648,0.13837443,-0.09850368,0.121778995,-0.136129975,0.01003665
